<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20131223,150000,9019.3000000,9073.1000000,9013.4000000,9073.0000000,16398
20131223,160000,9074.0000000,9081.8000000,9063.6000000,9064.9000000,9817
20131223,170000,9064.8000000,9078.0000000,9045.0000000,9065.0000000,6912
20131223,180000,9065.0000000,9150.0000000,9062.8000000,9134.8000000,10366
20131223,190000,9134.1000000,9198.5000000,9132.9000000,9148.0000000,13613
20131224,110000,9177.6000000,9213.4000000,9165.0000000,9173.5000000,4738
20131224,120000,9173.5000000,9180.2000000,9150.0000000,9167.4000000,3173
20131224,130000,9169.9000000,9214.6000000,9167.2000000,9214.6000000,4266
20131224,140000,9211.8000000,9229.7000000,9195.7000000,9200.0000000,3204
20131224,150000,9197.6000000,9211.6000000,9197.2000000,9211.2000000,1452
20131224,160000,9210.3000000,9212.0000000,9185.1000000,9211.0000000,4313
20131224,170000,9210.0000000,9215.0000000,9194.8000000,9206.3000000,1802
20131224,180000,9206.4000000,9215.0000000,9181.0000000,9215.0000000,4124
20131224,190000,9215.0000000,9244.4000000,9206.6000000,9231.0000000,12214
20131225,110000,9235.9000000,9257.3000000,9210.1000000,9246.6000000,4117
20131225,120000,9245.1000000,9258.0000000,9206.2000000,9248.0000000,5431
20131225,130000,9246.4000000,9247.9000000,9236.2000000,9240.0000000,908
20131225,140000,9238.0000000,9243.8000000,9221.5000000,9232.2000000,2290
20131225,150000,9232.2000000,9252.0000000,9225.4000000,9247.8000000,4843
20131225,160000,9248.9000000,9248.9000000,9224.1000000,9227.0000000,768
20131225,170000,9224.4000000,9231.6000000,9215.9000000,9215.9000000,803
20131225,180000,9215.0000000,9220.0000000,9152.0000000,9162.7000000,3694
20131225,190000,9162.7000000,9184.9000000,9154.0000000,9182.1000000,2202
20131226,110000,9152.2000000,9239.5000000,9151.0000000,9179.5000000,1561
20131226,120000,9182.5000000,9210.0000000,9162.0000000,9168.0000000,4330
20131226,130000,9167.9000000,9215.0000000,9137.6000000,9203.0000000,5497
20131226,140000,9203.1000000,9210.0000000,9185.2000000,9206.5000000,6811
20131226,150000,9206.9000000,9215.0000000,9200.0000000,9208.2000000,4838
20131226,160000,9210.0000000,9210.5000000,9200.0000000,9200.0000000,595
20131226,170000,9200.0000000,9201.1000000,9190.1000000,9190.2000000,1355
20131226,180000,9195.9000000,9198.9000000,9080.1000000,9080.1000000,6222
20131226,190000,9080.6000000,9177.4000000,9075.0000000,9130.0000000,7127
20131227,110000,9130.0000000,9135.8000000,9083.0000000,9132.9000000,2036
20131227,120000,9133.1000000,9144.3000000,9115.2000000,9138.8000000,1737
20131227,130000,9138.8000000,9200.0000000,9125.3000000,9198.0000000,14105
20131227,140000,9198.0000000,9239.0000000,9196.0000000,9230.0000000,15032
20131227,150000,9230.0000000,9230.0000000,9204.3000000,9224.9000000,4533
20131227,160000,9224.9000000,9240.0000000,9205.0000000,9239.9000000,5761
20131227,170000,9239.3000000,9240.0000000,9222.6000000,9240.0000000,4621
20131227,180000,9240.0000000,9246.9000000,9107.7000000,9125.0000000,14089
20131227,190000,9125.2000000,9152.4000000,9113.0000000,9137.0000000,6651
20131230,110000,9164.9000000,9199.9000000,9138.0000000,9181.0000000,3134
20131230,120000,9183.8000000,9230.0000000,9135.1000000,9135.6000000,9815
